Bangla,Chatgaya
এগুলো কি আমি কিছু বুঝতে পারছিনা,এগুন কি আঁই কিছু বুঝিত ন ফারির
আমি সহজে মেয়েদের সাথে মার্কেটে যেতে চাই না,আঁই সহজে মেইফুওয়ার লগে মার্কেটুত যাইতাম ন চাই
রিয়াল মাদ্রিদ হেরে যাওয়াতে মনটা খারাপ হয়ে গেল,রিয়াল মাদ্রিদ অডি যনে মন ইয়েন হারাপ অই গেল
ফ্রি হলে এগুলো একটু দেখিস,ফ্রি অইলি এগুন এক্কানা চাইস
"এবার ধান ক্ষেতে পোকা হয়েছে বেশি, সেজন্য বিষ দিতে হবে","এবার ধান ক্ষেতিত ফুক অইয়্যি বেশি, এতেল্লে বিষ দন ফরিবু"
একটানা তিনটা ছক্কা মারার পর আউট হয়ে গেছি,এক লগে তিন্নো ছক্কা মারিবের পরে আউট অই গেই
শীতের সকালে কুয়াশার মধ্যে হাঁটতে বের হলে মনটা অনেক ভালো থাকে,শীতুর সকালে হুয়ার মধ্যে আডিতু বাইর অইলি মন ইয়েন বৌত ভালা থাহে
আমি আর আমার স্ত্রী মিলে সবকিছু রেডি করেছি,আঁই আর আঁর বউ মিলি বিয়াক কিছু রেডি গইজ্জি
শরীর সুস্থ না থাকলে পৃথিবীর সব সম্পদ থাকলেও কোনো আনন্দ পাওয়া যায় না,শরীল সুস্থ ন থাহিলি পৃথিবীর বিয়াক সম্পদ থাহিলিও হনো আনন্দ পন ন যায়
"আজকে আমি নিজে তোমার জন্য রান্না করেছি, খেয়ে কেমন হয়েছে জানাবে","আজিয়ে আঁই নিজে তোঁয়ার লাই রান্না গইজ্জি, হাইয়্যিরে কেন অইয়্যি হইয়্যু"
মানুষটা সারাদিন ক্ষেতে কাজ করে,মানুষ ইবে ফুরোদিন ক্ষেতিত হাজ গরে
ড্রাইভার কোথায়? গাড়ি ছাড়ছে না কেন এখনো?,ড্রাইভার হনডে? গারি ন ছারের কা এহনো?
বসন্তকাল আমার সবচেয়ে বেশি ভালো লাগে,বসন্তহাল আঁর বিয়াজ্ঞুনুত্তুন বেশি ভালা লাগে
আমি ওখানে যাওয়ার জন্য লাফাচ্ছি না,আঁই অনডে যাইবের লাই ন ফালাইর
"তোমাকে কতক্ষণ ধরে কল দিচ্ছি, ফোন উঠাচ্ছ না কেন?","তোঁয়ারে হতক্ষণ ধরি কল দির, ফোন ন উডার কা?"
দোয়ার মাধ্যমে মানুষের ভাগ্য পরিবর্তন হয়,দোয়ার মাইধ্যমে মাইনষুর ভেগ্য পরিবর্তন অয়
"বাইরে কেন দাঁড়ায় আছিস, ভিতরে আই","বাদ্দি কা থিয়েই থেইক্কুস, ভিতুরে আই"
আম্মু বাসায় জলদি চলে যেতে বলেছিলেন,আম্মু বাসাত হারা চলি যাইতু হইয়্যিল
বৃষ্টি পড়ে বাইরের সব কাপড় ভিজে গেছে,ঝর পরি বাইরোর বিয়াক হর ভিজি গেইয়্যি
"রেগে গেলে তো হেরে গেলেন, রাগ কন্ট্রোল করতে হবে","রাগি গেলি তো অডি গেইয়্যুন, রাগ কন্ট্রোল গরন ফরিবু"
আমি কি বলেছি আমার খিদে লেগেছে?,আঁই কি হই আত্তুন ভুক লেইজ্ঞি?
ওদেরকে একবার আমার বড় আপু অনেক বকা দিয়েছিল,ইতারারে একবার আঁর বরো আফা বৌত গেইল দিয়্যিল
"তুমি আজ না যাও, তুমি চলে গেলে আমার ভালো লাগবে না","তুঁই আজিয়ে নো যও, তুঁই চলি যাইলি আত্তুন ভালা ন লাগিবু"
গাধার মতো সারাদিন না খেটে একটু চালাকি করলে কাজটা অনেক আগেই শেষ হয়ে যেত,গাধার মতন আরাদিন ন হাডি এক্কানা চালাকি গরিলি হাজ ইয়েন বৌত আগেই শেষ অই যাইতু
কাঁঠাল এটা তো কাঁচা,হাট্টল ইবে তো কেঁচা
"আমাদের পথ এখানেই শেষ না, আজ হেরে গেছি তো কী হয়েছে","আঁরার পথ এনডেই শেষ নো, আজিয়ে অডি গেই তো কী অইয়্যি"
তুমি কোন বিশ্ববিদ্যালয় থেকে পড়াশোনা করেছ?,তুঁই হন বিশ্ববিদ্যালয় উত্তুন পরাশোনা গইজ্জো?
"মুখে বলা অনেক সহজ, করে দেখানো অনেক কঠিন","মুখে হন বৌত সোজা, গরি দেহন বৌত কঠিন"
"বারবার বারণ করি, তাও আমার কথা শোনো না","বারবার মানা গরি, তো আঁর হতা ন উনো"
আপনার কাছে কি সুতির পাঞ্জাবি আছে?,অঁনোর হাছে কি সুতোর পাঞ্জাবি আছে?
এখানে আরও একটা বিপদ রয়েছে,এনডে আরও এক্কান বিপদ আছে
গাছ থেকে পড়লে একদম হাত-পা ভেঙে যাবে,গাছুত্তুন ফরিলি এব্বেরে আত-টেং ভাঙি যাইবু
দাঁতের মাজনটা তোর মেজো ভাইয়ের রুমে,দাতোর মাজন ইবে তুর মেজো ভাইয়োর রোমুত
রাগ করলে কিন্তু আমার ভাল লাগেনা,গুসসা অইলি কিন্তু আত্তুন গম ন লাগে
এবার ঢাকা থেকে আসার সময় আমার জন্য একটা পাঞ্জাবি আনিস,এবার ঢাহাত্তুন আইবের সমোত আঁর লাই ওজ্ঞো পাঞ্জাবি আনিস
আমার মতো ছাতা দেখি তোরও একটা আছে,আঁর মতন ছাতি দেহি তোত্তুনও এক্কান আছে
"আপনি এই কাজটা অন্য কাউকে দেন, আমি করতে পারব না","অঁনে হাজ ইয়েন অন্য কিয়ারে দন, আঁই গরিত ফাইত্তাম ন"
"আমার কাছে একটা বিড়াল ছিল, কিছু দিন আগে মারা গেছে","আঁর হাছে উজ্ঞো বিলেই আছিল, কিছুদিন আগে মারা গেইয়্যি"
"মা, আমার ব্যাগে একটু খাবার ভরে দাও, সারাদিন বাইরে থাকব","মা, আঁর ব্যাগুত এক্কানা হানা ভরি দও, আরাদিন বাইরে থাইক্কুম"
আমি সাইকেল চালাতে পারি কিন্তু বাইক চালাতে পারি না,আঁই সাইকেল চালাইত ফারি কিন্তু বাইক চালাইত ন ফারি
আজকে আমি অনেক বড় একটা ছক্কা মেরেছি,আজিয়ে বৌত বরো উজ্ঞো ছক্কা মেইজ্জি
"আমার ভাবৌতেই অবাক লাগে, চারটা বছর কত দ্রুত চলে গেল",আত্তুন ভাবৌতেই অবাক লাগে চেইরগান বছর হতো দ্রুত চলি গেল
সামনে কিছুদূর হাঁটলে আপনারা আপনাদের হোটেলে পৌঁছে যাবেন,সামনে হদ্দুর আডিলি অঁনেরা অঁনেরার হোটেলুত পৌছি যাইবেন
"আকাশ অনেক মেঘলা হয়ে গেছে, চল আজ আর না খেলি","আকাশ বৌত মৌলো অই গেইয়্যি, চল আজিয়ে আর ন খেলি"
তোর বড় ভাই নাকি বিদেশ চলে গেছে?,তুর বদ্দা বলে বিদেশ চলি গেইয়্যি
আমি প্রতিদিন রাত দশটায় ঘুমায় যায় যেন সকালে তাড়াতাড়ি উঠতে পারি,আঁই ফইত্তুদিন রাতিয়ে দশটা বাজে ঘুমায় যায় যাতে বেইন্নে তারাতারি উঢ়িত পারি
"এই কাপড়গুলো ধুতে হবে না, এগুলো আজকে পরব","হর এগুন ধুঅন ফইত্তু ন, এগুন আজিয়ে ফইজ্জুম"
রান্নাঘরের জানালাটা বন্ধ করে দিয়ে আসো,বসহানার জানালা ইয়েন বন্ধ গরি দি আইয়্যো
এটা কি? আজকে প্রথম শুনলাম,ইবে কি? আজিয়ে প্রথম উনিলাম
বৃষ্টির দিনে ঘর থেকে বের হতে ইচ্ছা করে না,ঝরোর দিনোত ঘরোত্তুন বাইর অইতু ইচ্ছে ন গরের
"এখন যাব না, আর কিছুদিন পর যাব","এহন ন যাইয়্যুম, আর কিছুদিন পর যাইয়্যুম"
মা না থাকলে বোঝা যায় মায়ের গুরুত্ব কত,মা ন থাহিলি বুঝা যায় মা'র গুরুত্ব হতো
"ভাই, বাস ছাড়তে আর কতক্ষণ সময় বাকি আছে?","বদ্দা, বাস ছারিবের লাই আর হতক্ষন সময় বাকি আছে?"
বালতিটা নিয়ে গিয়ে পাশের বাড়ির টিউবওয়েল থেকে পানি নিয়ে এসো,বালতি ইবে লই যাই পাশুর বারির ফেইক উত্তুন পানি লই আইয়্যু
কাপড় আর ইফতারিগুলো নিয়ে তোর আপুর ওখানে দিয়ে আয়,হর আর ইফতেরি এগিন লই তুর আফার এনডে দি আয়
ধন্যবাদ তোমাকে,ধইন্যবাদ তোঁয়ারে
"আরে, বন্ধু ছাড়া জীবনটা যেন লবণ ছাড়া তরকারির মতো","আরে, বন্ধু ছারা জীবন ইয়েন যেন লবণ ছারা তরহারির মতন"
"আর অল্প বাকি, বেশিক্ষণ লাগবে না","আর এক্কানা বাকি, বেশিক্ষন ন লাগিবু"
"সারাদিন কারেন্ট ছিল না, এখন একটু এসেছে, আবারও চলে গেছে","আরাদিন কারোন ন আছিল, এহন এক্কানা আইসসি, আবারও চলি গেইয়্যি"
"একটু হাত লাগান, আপনি ছাড়া এটা ওপরে তোলা সম্ভব না","এক্কানা আত লাগন, অঁনে ছারা ইয়েন উরে তোলন সম্ভব নো"
আমি একবার পুকুরে পড়ে গিয়েছিলাম,আঁই একবার ফইরোত ফরি গেইলাম
"একটু জোরে কথা বলো, পেছন থেকে ঠিকমতো শুনতে পারছি না","এক্কানা জোরে হতা হও, পিছুত্তুন ঠিকমতো উনিত ন পারির"
"সবাই টেবিলে চলে আসো, আজকে সবাই একসাথে নাস্তা করি","বিয়াজ্ঞুন টেবিলুত চলি আইয়্যু, আজিয়ে বিয়াজ্ঞুন এক্কোওয়ারে নাস্তা গরি"
"নিজে কী বলছে সেটার ঠিক নাই, আবার আমাকে বলছে পাগল","নিজে কি হর ইয়েনুর ঠিক নেই, আবার আঁরে হর ফঅল"
"ভালো থাকিস, আবার দেখা হবে, আল্লাহ হাফেজ","ভালা থাহিস, আবার দেহা অইবু, আল্লাহ হাফেজ"
রাস্তায় বড় বড় ট্রাকগুলো দেখলে আমার ভয় লাগে,রাস্তাত বরো বরো ট্রাক এগুন দেহিলি আত্তুন ডর লাগে
"আপু, টাটকা মাছ খেতে চাইলে এইদিকে আসেন","আফা, টাটকা মাছ হাইতু চাইলি ইনদি আইয়্যুন"
"সবসময় মজা ভালো লাগে না, আমি এখন মজা করার মুডে নেই","সবসময় মজা ভালা ন লাগে, আঁই এহন মজা গরিবের মুডুত নেই"
"ছেলেটাকে প্রথমে আমি খারাপ মনে করেছিলাম, এখন আমার ভুল ভেঙে গেছে","ফুওয়া ইবেরে প্রথমে আঁই হারাপ মনে গইজ্জিলাম, এহন আঁর ভুল ভাঙি গেইয়্যি"
"পানি পড়ে চুলার আগুন নিভে গেছে, আবার জ্বালিয়ে দাও তো","পানি পরি চুলোর অইন নিফি গেইয়্যি, আবার জলাই দও তো"
"আমার ছোট চাচাটা বেশি শয়তান, সবসময় আব্বুর সাথে ঝগড়া করে","আঁর গুরো চাচা ইবে বেশি শতান, সবসময় আব্বুর লগে হইজ্জে গরে"
"অনেকদিন পর ভালোভাবে ঘুমালাম, ঘুম থেকে উঠে শরীরটা একদম হালকা মনে হচ্ছে","বৌতদিন পর ভালাগরি ঘুম গেইলাম, ঘুমুত্তুন উডি শরীল ইয়েন এব্বেরে আলহা মনে অর"
"জ্বর হলে কোনো কিছু খেতে মন চায় না, মুখের রুচি চলে যায়","জ্বর অইলি হনো কিছু হাইতু মনে ন চায়, মুখুর রুচি চলি যায়"
মাথায় তেল দিলে অনেক আরাম লাগে,মাথাত তেল দিলি বৌত আরাম লাগে
একটা ভালো কোয়ালিটির প্যান্ট দেখান,উজ্ঞো ভালা কোয়ালিটির ফেন দেহন
আমি এখন চলে  যাচ্ছি,আঁই এহন  চলি যাইর
কোথায় যাস সেলিম?,হনডে যর সেলিম?
"চলো, আমরা দুজন মিলে কোথাও ঘুরে আসি","চলো, আঁরা দুনুজন মিলি হনোমিক্কে ঘুরি আয়"
"তোমাকে দেখে অসুস্থ মনে হচ্ছে, তুমি না হয় এখন চলে যাও","তোঁয়ারে দেহি রে অসুস্থ মনে অর, তুঁই নয়তো এহন চলি যো"
"কাজটা একটু কঠিন, যদি তুমি না চাও, তাহলে আমি তোমাকে জোর করব না","হাজ ইয়েন এক্কানা কঠিন, যদি তুঁই ন চও তইলি আঁই তোঁয়ারে জোর গইত্তাম নো"
"আমাদের এখানে যেহেতু বৃষ্টি কম হয়, সেহেতু বৃষ্টি পড়লে আমাদের বৃষ্টির পানি ধরে রাখতে হবে","আঁরার এনডে যেহেতু বৃষ্টি হম অয়, এতেল্লে ঝর ফরিলি আঁরাত্তুন ঝরুর পানি ধরি রাহন ফরিবু"
"সারাদিন ঘরে কেন বসে থাক, একটু বাইরে ঘুরে আসতে পার না?","আরাদিন ঘরুত কা বই থাহো, এক্কানা বাইরে ঘুরি আইত ন পারো?"
"ওরা যদি যেতে না চায়, তাহলে আমাদের কিছু করার নাই","ইতারা যদি যাইতো ন চায়, তইলি আরাত্তুন কিছু গরার নাই"
ভাত কি এখন নিয়ে আসব?,ভাত কি এহন লই আইসসুম
"রান্নাঘরটা বেশি ময়লা হয়ে গেছে, আজকে পরিষ্কার করতে হবে","বসহানা ইয়েন বেশি হাচারা অই গেইয়্যি, আজিয়ে সাফ গরি ফেলন ফরিবু"
পাহাড়ে অনেক বড় একটা হাতি আছে,ফা'রুত বৌত বরো উজ্ঞো আতি আছে
"একসময় আমাদের অনেক জায়গা-জমি ছিল, বর্তমানে সেগুলো আর নেই","একসময় আঁরার বৌত জাগা-জমি আছিল, বর্তমানে এগিন আর নেই"
গাড়ি চালিয়ে আসার সময় কুয়াশার কারণে সামনে রাস্তা দেখতে পাচ্ছিলাম না,গারি চালাই আইবের সমত হুয়ার হারনে সামনে রাস্তা ন দেহির
"তামিমের একটা অভ্যাস আছে, সে প্রতিদিন সকালে উঠে এক কাপ চা খায়","তামিমুর এক্কান অভ্যেস আছে, ইতে ফইত্তুদিন বেইন্নে উডি এক হাপ চা হায়"
"আমরা পাঁচজন যাব, তাই পাঁচটা টিকেট একসাথে কাটতে চাই","আঁরা পাচজন যাইয়্যুম, এতেল্লে পাচছান টিকেট একলগে হাইট্টাম চাইর"
"আজকে আমার ছেলে প্রথমবার ""বাবা"" বলে ডাকল, আমার কী যে আনন্দ হচ্ছে, ভাষায় প্রকাশ করতে পারব না","আজিয়ে আঁর ফুওয়া প্রথমবার বাফ হই ডেইক্কি, আত্তুন কেন যে খুশি লার ভাষায় প্রকাশ গরিত ন পাইজ্জুম"
বাসা খুঁজতে খুঁজতে পা ব্যথা হয়ে গেছে,বাসা তোওয়াইতে তোওয়াইতে টেং ব্যথা অই গেইয়্যি
সারারাত না ঘুমিয়ে কী করেছিস? কার সঙ্গে কথা বলেছিস?,আঁরারাইত নো ঘুমাই কি গইজ্জুস? হার লগে হতা হইয়্যুস?
"এই শোন, তুমি একটু বোঝার চেষ্টা করো","এই উনো না, তুঁই এক্কানা বুঝিবের চেষ্টা গরো"
"আমার গত তিন মাস ধরে বুকে ব্যথা, মেডিকেলে গিয়ে টেস্ট করে দেখতে হবে","আঁর গত তিন মাস ধরি বুকুত ব্যথা, মেডিকেলুত যাই টেস্ট গরি চন ফরিবু"
সামনে কি কোনো পেট্রোল পাম্প আছে? আমার গাড়ির তেল শেষ হয়ে গেছে,সামনে কি হনো পেট্রোল পাম্প আছে? আঁর গারির তেল শেষ অই গেইয়্যি
"যদি সময় বেশি থাকে, তাহলে আমি একটু নাস্তা করে আসি","যদি সময় বেশি থাহে, তইলি আঁই এক্কানা নাস্তা গরি আয়"
