Chatgaya,Bangla
এই মেইফুওয়া ইবে তোরে পছন্দ গরে মনে অয়,এই মেয়েটা তোকে পছন্দ করে মনে হয়
আঁরার এনডে বৌত বরো উজ্ঞো মার্কেট খুইল্লি,আমাদের এখানে অনেক বড় একটা মার্কেট খুলেছে
"মাথা ঠান্ডা গরো, আঁই কি হইর মন দি উনো","মাথা ঠান্ডা করো, আমি কি বলি মনোযোগ দিয়ে শোনো"
ঘরুত গুরো গুরো বাইচ্চে থাহিলি মন হারাপ গরি থাহন ন যায়,ঘরে ছোট ছোট বাচ্চা থাকলে মন খারাপ করে থাকা যায় না
প্রশ্ন দেহি রে আঁর মাথা ঘুরি গেইয়্যি,প্রশ্ন দেখে আমার মাথা ঘুরে গেছে
আঁরে এই বিপদ উত্তুন উদ্ধার গরো,আমাকে এই বিপদ থেকে উদ্ধার করো
"দোয়া গরিস বন্ধু, সামনে বৌত হাম","দোয়া করিস বন্ধু, সামনে অনেক কাজ"
"এত বকবক ন গরি হাজুত মন দও, বিয়াক হাজ পরি আছে","এত বকবক না করে কাজে মন দাও, সব কাজ পড়ে আছে"
দাতোর মাজন ইবে হনডে আম্মু?,দাঁতের মাজনটা কোথায় আম্মু?
বাইরে হনোমিক্কেত্তুন ঘুরি আইলি মন ভালা অই যাইবো,বাইরে কোথাও থেকে ঘুরে আসলে মন ভাল হয়ে যাবে
"বেইন্নে বাইর অইবের সমত মনে অইয়্যিল ঝর নো আইবু, কিন্তু বাইর অইবের কিছুক্ষনুর মধ্যেই ঝর চলি আইসসি","সকালে বের হওয়ার সময় মনে হয়েছিল বৃষ্টি আসবে না, কিন্তু বের হওয়ার কিছুক্ষণের মধ্যেই বৃষ্টি চলে আসে"
আঁই অনডে যাইবের লাই ন ফালাইর,আমি ওখানে যাওয়ার জন্য লাফাচ্ছি না
যারা সগরুর আশে পাশে আছে ইতারার লাই বৌত বিপজ্জনক,"যারা সাগরের আশপাশে আছে, তাদের জন্য অনেক বিপজ্জনক"
"হালিয়ে হনো শব্দ নেই, আজিয়েত্তুন শুরু গরন ফরিবু","কাল কোন শব্দ নেই, আজকে থেকেই শুরু করতে হবে"
বর্ষাহাল আইলি আঁরার হাডি ভাঙি যায়,বর্ষাকাল আসলে আমাদের বেড়িবাঁধ ভেঙে যায়
"আঁরার এনডে ঘুরিবের লাই বৌত জাগা আছে, আশা গরি তোঁয়ার ভালা লাগিবু","আমাদের এখানে ঘুরার জন্য অনেক জায়গা আছে, আশা করি তোমার ভালো লাগবে"
গোস্ত বিয়ারি এগুন বেশি হারাফ,মাংস বিক্রেতাগুলো বেশি খারাপ
শীতহালে বৌত রহমুর পিডে পন যায়,শীতকালে অনেক রকমের পিঠা পাওয়া যায়
গোসল গরি আইবের সমত তুর বাফুর লুঙ্গি ইয়েন অ ধুয় আনিস,গোসল করে আসার সময় তোর বাবার লুঙ্গিটাও ধুয়ে আনিস
বারবার হইলাম শরুত গেলি মোবাইল সাবধানে রাখতো,"বারবার বলেছি, শহরে গেলে মোবাইল সাবধানে রাখতে"
"কুতুবদিয়ে যেতু চাইলি নৌকো লই যন ফরিবু, যিয়েন বৌত রিস্ক","কুতুবদিয়া যেতে চাইলে নৌকা নিয়ে যেতে হবে, যেটা অনেক ঝুঁকিপূর্ণ"
"আঁই আগেও হই আর এহনও হইর, হাম ইয়েন গরন আঁর পক্ষে সম্ভব ন","আমি আগেও বলেছি এবং এখনও বলছি, এই কাজ করা আমার পক্ষে সম্ভব না"
ইতারা দুনুজন বৌত ভালা বন্ধু,তারা দুজন অনেক ভাল বন্ধু
আঁই আর আঁর বউ মিলি বিয়াক কিছু রেডি গইজ্জি,আমি আর আমার স্ত্রী মিলে সবকিছু রেডি করেছি
"আজিয়ের মধ্যে বিয়াক কিছু গুছায় ফেলন ফরিবু, যেন হালিয়ে বেইন্নে বাইর অই যাইত পারি","আজকের মধ্যে সবকিছু গুছিয়ে ফেলতে হবে, যেন আগামীকাল সকালে বের হয়ে যেতে পারি"
"অঁনে তো দাম অঁনোরগান ধরি বই থেইক্কুন, আঁরে কিছু হইবের সুযোগ নইদ্দে লেইজ্ঞুন","আপনি তো দাম আপনারটা ধরে বসে আছেন, আমাকে কিছু বলার সুযোগ দিচ্ছেন না"
এন গরি মাথা ঘুরাদ্দে যেন মনে অর দুনিয়ে ইয়েন ঘুরের,এমনভাবে মাথা ঘুরাচ্ছে যেন মনে হচ্ছে দুনিয়াটা ঘুরতাছে
"আঁর গত তিন মাস ধরি বুকুত ব্যথা, মেডিকেলুত যাই টেস্ট গরি চন ফরিবু","আমার গত তিন মাস ধরে বুকে ব্যথা, মেডিকেলে গিয়ে টেস্ট করে দেখতে হবে"
"হর ইবে বেশি হাচারা অই গেইয়্যি, আজিয়ে ধুই ফেলন ফরিবু","কাপড়টা বেশি ময়লা হয়ে গেছে, ধুয়ে ফেলতে হবে আজকে"
"আত্তুন এক্কানা হারাপ লার, আঁই যাইত ফাইত্তাম নো","আমার একটু খারাপ লাগছে, আমি যেতে পারব না"
বৌতদিন অই গেইয়্যি আঁর ভালোবাসার মানুষ ইবেরে ন দেহির,অনেকদিন হয়ে গেল আমার ভালোবাসার মানুষটাকে দেখি না
"গুজি থাহি লাভ নাই, আঁই তোঁয়ারে দেহি ফেলাই","লুকিয়ে থেকে লাভ নাই, আমি তোমাকে দেখে ফেলেছি"
বাতাসুর হারনে আঁর গাছুর বিয়াক আম পরি গেইয়্যি,বাতাসের কারণে আমার গাছের সব আম পড়ে গেছে
"আঁর এহন হনো কিছু মনোত ন থাহে, বিয়াক ভুলি যাই","আমার এখন কোন কিছু মনে থাকে না, সব ভুলে যাই"
"বদ্দা, দাম আঁই এক্কান হইয়্যুম?","ভাই, দাম আমি একটা বলব?"
"বাইক এক্সিডেন্ট গরি এক সপ্তাহ ধরি হাসপাতালুর বেডুত শুই আছি, আঁর হনো বন্ধুই সাইতু ন আইয়্যি","বাইক এক্সিডেন্ট করে এক সপ্তাহ ধরে হাসপাতালের বেডে শুয়ে আছি, আমার কোনো বন্ধুই দেখতে আসল না"
"তুঁই এহন ভাত ন হাইয়্যু, আঁই এক্কানা ফর আলু ভত্তা গরি দির","তুমি এখন ভাত খেও না, আমি একটু পর আলু ভর্তা করে দিচ্ছি"
"তানিয়ের মা বলে অসুস্থ, এতেল্লে ইতি যাইত ন ফারিবু","তানিয়ার মা নাকি অসুস্থ, তাই সে যেতে পারবে না"
"বদ্দা, তুর লাই কিছু মিষ্টি আইন্নি, লই যা, তুর বৌত পছন্দের জিনিস!","ভাই, তোর জন্য কিছু মিষ্টি এনেছি, নিয়ে যা, তোর অনেক পছন্দের জিনিস!"
"বন্ধুর লগে বাইক লই বাইর অইলাম, রাস্তাত হঠাৎ ঝর চলি আইসসি","বন্ধুর সঙ্গে বাইক নিয়ে বের হয়েছিলাম, রাস্তায় হঠাৎ বৃষ্টি চলে আসে"
আসসালামু আলাইকুম বদ্দা,আসসালামু আলাইকুম ভাই
"বদ্দা, বৃষ্টি চলি আইসসি, এক্কানা বাসুর জানালা এগিন বন্ধ গরি দন","ভাই, বৃষ্টি চলে আসছে, একটু বাসের জানালাগুলো বন্ধ করে দেন"
"শীতহালে ফোওয়াত্তে বৌত বেশি হুয়া থাহে, বাদ্দি বৌত দুর পর্যন্ত হনো কিছু দেহা ন যায়","শীতকালে ভোরে অনেক কুয়াশা থাকে, বাইরে অনেক দূর পর্যন্ত কোনো কিছু দেখা যায় না"
"ইয়েন গরন একদম ঠিক ন অইবু, তুঁই আরেকবার চিন্তে গরি সো","এটা করা একদম ঠিক হবে না, তুমি আরেকবার চিন্তা করে দেখো"
হতদিনোর মধ্যে হাম অইবু বদ্দা?,কতদিনের মধ্যে কাজ হবে ভাই?
"আইচ্ছে, তুই যে এত হস, এই হানা এগিন যায় হনডে?","আচ্ছা, তুই যে এত খাস, সেই খাবারগুলো যায় কোথায়?"
রিয়াল মাদ্রিদ অডি যনে মন ইয়েন হারাপ অই গেল,রিয়াল মাদ্রিদ হেরে যাওয়াতে মনটা খারাপ হয়ে গেল
"কারোন এহনো ন আইয়্যি, এহন বই বই অপেক্ষা গরন ছারা আর কি গরিবের আছে?","কারেন্ট এখনো আসেনি, এখন বসে বসে অপেক্ষা করা ছাড়া আর কী করার আছে?"
"হারা যও, সূর্য ডুবিবের আগে হাম শেষ গরো","জলদি যাও, সূর্য ডোবার আগে কাজ শেষ কর"
তুঁই আঁর হতাত হান ন দি উইক্কে কি চায় থেইক্কো?,তুমি আমার কথায় কান না দিয়ে ওই দিকে কি দেখো?
ইতের সাহস হতো! আঁর নাম ধরি ডাহে,ওর সাহস কত! আমার নাম ধরে ডাকে
অঁনোর হাছে কি সুতোর পাঞ্জাবি আছে?,আপনার কাছে কি সুতির পাঞ্জাবি আছে?
কি কিননুম বাজারোত্তুন! বিয়াক কিছুর যে দাম!,কি কিনব বাজার থেকে! সবকিছুর যে দাম!
মারুফ পইল্লের বলেই আউট অই গেইয়্যি,মারুফ প্রথম বলেই আউট হয়ে গেছে
"আঁই এহন চলি যাইর, তুঁই পরে আইস্যো","আমি এখন চলে যাচ্ছি, তুমি পরে আসিও"
মেইফুওয়া ইবে আত মৌজো ফইজ্জিল,মেয়েটা হাত মোজা পড়েছিল
বেইন্নে আঁই রুটি হাইয়্যুম,সকালে আমি রুটি খাব
"সাই সাই লন, বাছি বাছি লন, একদাম ২০০ টিয়া","দেখে দেখে নেন, বেছে বেছে নেন, একদাম ২০০ টাকা"
আঁই কি হইয়্যি ইয়েন তুঁই এক্কানা ভালা গরি চিন্তে গরি স,আমি কি বলেছি সেটা তুমি একটু ভাল করে চিন্তা করে দেখ
এগুন কি আঁই কিছু বুঝিত ন ফারির,এগুলো কি আমি কিছু বুঝতে পারছিনা
তোঁয়ার ছোডো ফুওয়া ইবে বেশি তাল গরে,তোমার ছোট ছেলেটা বেশি বাহানা করে
"তুঁই এক্কানা অপেক্ষা গরো, আঁরা একলগে যাইয়্যুম","তুমি একটু অপেক্ষা করো, আমরা একসাথে যাব"
"লাইট ইবে এক্কানা জালাই দও, ঘরুত আধার অই গেইয়্যি","লাইটটা একটু জ্বালিয়ে দাও, ঘরে অন্ধকার হয়ে গেছে"
দুইরগের পর ঘুম যাইলি আত্তুন মাথা ব্যথা গরে,দুপুরের পর ঘুমালে আমার মাথা ব্যথা করে
"বন্ধু, এবার ঈদুত আঁরে এক জোরা জুতা গিফট গর","বন্ধু, এবার ঈদে আমাকে এক জোড়া জুতা গিফট কর"
"এবার ধান ক্ষেতিত ফুক অইয়্যি বেশি, এতেল্লে বিষ দন ফরিবু","এবার ধান ক্ষেতে পোকা হয়েছে বেশি, সেজন্য বিষ দিতে হবে"
এক লগে তিন্নো ছক্কা মারিবের পরে আউট অই গেই,একটানা তিনটা ছক্কা মারার পর আউট হয়ে গেছি
দশশো হারাপ বন্ধুর চাইতে উজ্ঞো ভালা বন্ধু অইলিই যথেষ্ট,১০টা খারাপ বন্ধুর চেয়ে একটা ভালো বন্ধু হলেই যথেষ্ট
তুঁই কি আঁর হথা উনিবে নাকি নো উনিবে?,তুমি আমার কথা শুনবে নাকি শুনবে না?
"আগে আঁই হতক্ষন জিরেই, তারপর তোঁয়ার লগে হথা হইয়্যুম","আগে আমি কিছুক্ষণ বিশ্রাম নিই, তারপর তোমার সঙ্গে কথা বলব"
"আজিয়ে আঁই নিজে তোঁয়ার লাই রান্না গইজ্জি, হাইয়্যিরে কেন অইয়্যি হইয়্যু","আজকে আমি নিজে তোমার জন্য রান্না করেছি, খেয়ে কেমন হয়েছে জানাবে"
মানুষ ইবে ফুরোদিন ক্ষেতিত হাজ গরে,মানুষটা সারাদিন ক্ষেতে কাজ করে
"আজিয়ে বেইন্নেত্তুন ফেডের ফেডের ঝর ফরের, থামিবের হনো লক্ষন দেহা ন যার","আজকে সকাল থেকে টিপটিপ বৃষ্টি পড়ছে, থামার কোনো লক্ষণ দেখা যাচ্ছে না"
শীতুর সকালে হুয়ার মধ্যে আডিতু বাইর অইলি মন ইয়েন বৌত ভালা থাহে,শীতের সকালে কুয়াশার মধ্যে হাঁটতে বের হলে মনটা অনেক ভালো থাকে
"তুই যা শুরু গইজ্জুস শাকিল, একদিন তো আঁর মান সম্মান হাই ফেলাইবি","তুই যা শুরু করলি শাকিল, একদিন তো আমার মান সম্মান খেয়ে ফেলবি"
"তোঁয়ারে হতক্ষণ ধরি কল দির, ফোন ন উডার কা?","তোমাকে কতক্ষণ ধরে কল দিচ্ছি, ফোন উঠাচ্ছ না কেন?"
মার্কেটর বিয়াক দোয়ানুত্তুন বর আঁরা বিয়াজ্ঞুনুত্তুন অস্তা দির,মার্কেটের সব দোকানের চেয়ে আমরা সবচেয়ে সস্তায় দিচ্ছি
"বাদ্দি কা থিয়েই থেইক্কুস, ভিতুরে আই","বাইরে কেন দাঁড়ায় আছিস, ভিতরে আই"
বিয়াগুনুর লাই মনত্তুন দোয়া আর ভালোবাসা থাহিবু,সবার জন্য মন থেকে দোয়া আর ভালোবাসা থাকবে
ঝর পরি বাইরোর বিয়াক হর ভিজি গেইয়্যি,বৃষ্টি পড়ে বাইরের সব কাপড় ভিজে গেছে
কিছু কিছু মানুষ উত্তুন কুত্তো বৌত বিশ্বস্ত,কিছু কিছু মানুষের থেকে কুকুর অনেক বিশ্বস্ত
"আরাদিন একটানা বই ন থাইক্কো, হতক্ষন পর পর উডি এক্কানা আইট্টো","সারাদিন একটানা বসে থাকিও না, কিছুক্ষণ পর পর উঠে একটু হাঁটিও"
ঘরোত চোর ঢুকি বিয়াক জিনিস লই গেইয়্যি,ঘরে চোর ঢুকে সব জিনিস নিয়ে গেছে
আইবের সমত তুর মঅতু বইনুরে দেহিলাম গারিত গরি হনডে যার,আসার সময় তোর মামাতো বোনকে দেখলাম গাড়িতে করে কোথায় যাচ্ছে
এই বৃষ্টির মধ্যে বাইক লই হনডে যর?,এই বৃষ্টির মধ্যে বাইক নিয়ে কোথায় যাচ্ছিস?
হাট্টল ইবে তো কেঁচা,কাঁঠাল এটা তো কাঁচা
"আঁই ড্রাইভার উরে দি গারি পাঠাই দি, তুঁই এক্কানা অপেক্ষা গরো","আমি ড্রাইভারকে দিয়ে গাড়ি পাঠিয়ে দিচ্ছি, তুমি একটু অপেক্ষা করো"
কিছু লাগিলি আঁরে জানাইয়্যুন,কিছু লাগলে আমাকে জানাবেন
বিয়াজ্ঞুনুর ব্যাগ আর মোবাইল ফোন সাম্মুদ্দি আনি রাহো,সবার ব্যাগ আর মোবাইল ফোন সামনে এনে রাখো
গরমহালে মেডির ঘরোত গরম হম লাগে,গরমকালে মাটির ঘরে গরম কম লাগে
উজ্ঞো ভালা কোয়ালিটির ফেন দেহন,একটা ভালো কোয়ালিটির প্যান্ট দেখান
"হালিয়ে রাতিয়ে বাতাস বৌত বেশি আছিল, গাছ ভাঙি রাস্তা বন্ধ অই গেইয়্যি","গতকাল রাতে বাতাস অনেক বেশি ছিল, গাছ ভেঙে রাস্তা বন্ধ হয়ে গেছে"
তোর এল্লেত সাহস কেনে অইয়্যি দে! আঁর হতার অবাধ্য অস!,তোর এত সাহস কীভাবে হলো! আমার কথার অবাধ্য হোস!
একটানা টিভি চাইতে চাইতে ঘেডি ব্যথা অই গেইয়্যি,একটানা টিভি দেখতে দেখতে ঘাড়ে ব্যথা হয়ে গেছে
শেষ হত্তে রইদ দেইক্কি মনত নেই আত্তুন,শেষ কবে রোদ দেখেছি  মনে নেই আমার
গুসসা অইলি কিন্তু আত্তুন গম ন লাগে,রাগ করলে কিন্তু আমার ভাল লাগেনা
বেশি জারগই গরিলি ঘেডি বেরাই উজ্ঞো দিয়্যুম,বেশি দুষ্টামি করলে ঘাড়ের মধ্যে একটা দেব
আঁর ইচ্ছে একদিন পুরো পৃথিবী ঘুরি চাইয়্যুম,আমার ইচ্ছা একদিন পুরো পৃথিবী ঘুরে দেখব
এবার ঢাহাত্তুন আইবের সমোত আঁর লাই ওজ্ঞো পাঞ্জাবি আনিস,এবার ঢাকা থেকে আসার সময় আমার জন্য একটা পাঞ্জাবি আনিস
আঁরে আরো কিছু গরম গরম ধু পিডে দও,আমাকে আরো কিছু গরম গরম ভাপা পিঠা দাও
"তুই আত্তুন আর হনো টিয়া ন পাবি, তুর বিয়াক টিয়া আঁই দি দিই","তুই আমার কাছ থেকে আর কোনো টাকা পাবি না, তোর সব টাকা আমি দিয়ে দিছি"
"গুসসা আত্তুনও আইয়্যি, কিন্তু আঁই নিয়ন্ত্রন গরিত পারি","রাগ আমারও আসে, কিন্তু আমি নিয়ন্ত্রণ করতে পারি"
বিলের হঅর হাইলি সাথে সাথে ডাক্তারুর হাছে যন উচিত,বিড়ালের কামড় খেলে সঙ্গে সঙ্গে ডাক্তারের কাছে যাওয়া উচিত
তুঁই কি সবসময় এল্লেত ছোডো গরি হতা হও,তুমি কি সবসময় এভাবে ছোট করে কথা বলো?
"আর এক্কানা বাকি, বেশিক্ষন ন লাগিবু","আর অল্প বাকি, বেশিক্ষণ লাগবে না"
আজিয়ে বৌত বরো উজ্ঞো ছক্কা মেইজ্জি,আজকে আমি অনেক বড় একটা ছক্কা মেরেছি
"চঅরি এক্কান চলি গেইয়্যি তো কী অইয়্যি, আল্লাহ চাইলি আরো ভালা চঅরি আইবু","চাকরি একটা চলে গেছে তো কী হয়েছে, আল্লাহ চাইলে আরও ভালো চাকরি আসবে"
"এই পাঞ্জাবি ইবে আঁই পরি চাইতাম চাইর, ট্রায়াল রুম হুনদি?","এই পাঞ্জাবিটা আমি পরে দেখতে চাই, ট্রায়াল রুম কোনদিকে?"
"স্যার, আঁই পরীক্ষেত ভালা গইত্তাম চাই, হোন বিষয়গুন বেশি ফরন উর দরহার?","স্যার, আমি পরীক্ষায় ভালো করতে চাই, কোন বিষয়গুলো বেশি পড়া দরকার?"
তুর বদ্দা বলে বিদেশ চলি গেইয়্যি,তোর বড় ভাই নাকি বিদেশ চলে গেছে?
"বদ্দা, আরেক্কানা সাইড গরন অঁনোর গারি ইয়েন, রাস্তাত জ্যাম লাগি গেইয়্যি","ভাই, আরেকটু সাইড করুন আপনার গাড়িটা, রাস্তায় জ্যাম লেগে গেছে"
ইতারা দুনু ভাই বৌত জারগো,এরা দুই ভাই অনেক দুষ্টু
"আঁর গুরো চাচা ইবে বেশি শতান, সবসময় আব্বুর লগে হইজ্জে গরে","আমার ছোট চাচাটা বেশি শয়তান, সবসময় আব্বুর সাথে ঝগড়া করে"
"নিজে কি হর ইয়েনুর ঠিক নেই, আবার আঁরে হর ফঅল","নিজে কী বলছে সেটার ঠিক নাই, আবার আমাকে বলছে পাগল"
ঝরোর দিনোত ঘরোত্তুন বাইর অইতু ইচ্ছে ন গরের,বৃষ্টির দিনে ঘর থেকে বের হতে ইচ্ছা করে না
"এহন ন যাইয়্যুম, আর কিছুদিন পর যাইয়্যুম","এখন যাব না, আর কিছুদিন পর যাব"
ইবে কি শার্ট ফইজ্জুস দে! তুরে দেহি তো গ্রামোর চাচতো ভাইয়্যুর মতন লাগের,এটা কী শার্ট পরেছিস! তোকে দেখে তো গ্রামের চাচাতো ভাইয়ের মতো লাগছে
"বদ্দা, আইয়্যুন আঁরার বাসুত উডোন, আঁরার বাসুত নামাজ ফরিবের সুবিধে আছে","ভাই, আসেন আমাদের বাসে উঠেন, আমাদের বাসে নামাজ পড়ার সুবিধা আছে"
"অঁনে যে দাম হইয়্যুন, ইয়েন আঁরার কিনা রেট উত্তুনও হম","আপনি যে দামটা বলছেন, ওটা আমাদের কেনা রেট থেকেও কম"
লিজার কি হবর? ইতে বলে বিদেশুত চলি গেইয়্যি?,লিজার কি খবর? ও নাকি বিদেশে চলে গেছে?
ধইন্যবাদ তোঁয়ারে,ধন্যবাদ তোমাকে
আজিয়ে বৌতদিন ফর ঘরোর বিয়াক একলগে আইলাম,আজকে অনেকদিন পর ঘরের সবাই একসাথে হলাম
হর ইবের দাম হত বদ্দা?,কাপড় এটার দাম কত ভাই?
অইন নিফি গেইয়্যি মনে অয়,আগুন নিভে গেছে মনে হয়
আঁর মতন ছাতি দেহি তোত্তুনও এক্কান আছে,আমার মতো ছাতা দেখি তোরও একটা আছে
"তুর আফার লাই এক্কান শারি কিন্নি, পছন্দ অয় না চা","তোর আপুর জন্য একটা শাড়ি কিনেছি, পছন্দ হয় কিনা দেখ"
"বিয়াজ্ঞুন টেবিলুত চলি আইয়্যু, আজিয়ে বিয়াজ্ঞুন এক্কোওয়ারে নাস্তা গরি","সবাই টেবিলে চলে আসো, আজকে সবাই একসাথে নাস্তা করি"
"ধুওয়ো উডের বসহানাত্তুন, আম্মু মনে অয় ভাত বুওয়াইয়্যি","ধোঁয়া উঠছে রান্নাঘর থেকে, মা মনে হয় ভাত বসিয়েছেন"
"ভালা থাহিস, আবার দেহা অইবু, আল্লাহ হাফেজ","ভালো থাকিস, আবার দেখা হবে, আল্লাহ হাফেজ"
"বদ্দা, বাস তো ভরি গেইয়্যি, এবার ছারি দন","ভাই, বাস তো ভরে গেছে, এবার ছেড়ে দেন"
"আর একশ টিয়া ফেরত দন, আত্তুন গারিভারা নেই","আর একশ টাকা ফেরত দেন, আমার গাড়িভাড়া নেই"
"আঁরার সিট একলগে ফইজ্জি, যাইতে যাইতে আঁরা বৌত গল্প গইজ্জুম","আমাদের সিট একসাথে পড়েছে, যেতে যেতে আমরা অনেক গল্প করব"
বৃষ্টির হারনে ঘন ঘন লোডশেডিং অর,বৃষ্টির কারণে ঘন ঘন লোডশেডিং হচ্ছে
"দরজাত থিয়েই কাস্টোমার ডাক, নইলি ন আইবু","দরজায় দাঁড়িয়ে কাস্টমার ডাক, না হলে আসবে না"
"হর এগুন ধুঅন ফইত্তো ন, এগুন আজিয়ে ফইজ্জুম","এই কাপড়গুলো ধুতে হবে না, এগুলো আজকে পরব"
আঁরারাইত নো ঘুমাই কি গইজ্জুস? হার লগে হতা হইয়্যুস?,সারারাত না ঘুমিয়ে কী করেছিস? কার সঙ্গে কথা বলেছিস?
বাংলাদেশুত বৌত আর্জেন্টিনার সাপোর্টার আছে,বাংলাদেশ অনেক আর্জেন্টিনার সাপোর্টার আছে
পিডে বানাইবের লাই হালিয়ে ফোওয়াত্তে উডন ফরিবু,পিঠা বানানোর জন্য আগামীকাল ভোরে উঠতে হবে
ইবে কি বাসার দারোওয়ান?,এটা কি বাসার দারোয়ান?
আঁই এহন  চলি যাইর,আমি এখন চলে  যাচ্ছি
হনডে যর সেলিম?,কোথায় যাস সেলিম?
"আঁর বাজেট বেশি নেই, এতেল্লে ইবে লইত পাইত্তাম ন","আমার বাজেট বেশি নেই, সেজন্য এটা নিতে পারব না"
"তোঁয়ারে দেহি রে অসুস্থ মনে অর, তুঁই নয়তো এহন চলি যো","তোমাকে দেখে অসুস্থ মনে হচ্ছে, তুমি না হয় এখন চলে যাও"
"তোঁয়ারা বিকেল ৫টা পর্যন্ত যত ইচ্ছে ঘোরাঘুরি গরো সমস্যা নেই, কিন্তু ৫টায় বিয়াজ্ঞুন বাসুত চলি আইবে","তোমরা বিকাল ৫টা পর্যন্ত যত ইচ্ছা ঘোরাঘুরি কর সমস্যা নেই, কিন্তু ৫টায় সবাই বাসে চলে আসবে"
"স্যার, আঁই ইতের মিক্কে নো চাই","স্যার, আমি ওর দিকে তাকাইনি"
মাইর হাইতু ন চাইলি রাতিয়ে হারা ঘুমাই যাইস,মার খেতে না চাইলে রাতে জলদি ঘুমিয়ে যাস
"ইতারা যদি যাইতো ন চায়, তইলি আরাত্তুন কিছু গরার নাই","ওরা যদি যেতে না চায়, তাহলে আমাদের কিছু করার নাই"
আঁই তোঁয়ার বরো হিসেবে এই উপদেশ ইয়েন দিলাম,আমি তোমার বড় হিসেবে এই উপদেশটা দিলাম
"বসহানা ইয়েন বেশি হাচারা অই গেইয়্যি, আজিয়ে সাফ গরি ফেলন ফরিবু","রান্নাঘরটা বেশি ময়লা হয়ে গেছে, আজকে পরিষ্কার করতে হবে"
"অইনুর তাপ বৌত বারি গেইয়্যি, বেশি গরি পানি","আগুনের তাপ অনেক বেড়ে গেছে, বেশি করে পানি ঢালো"
"যদি যাদু ন গইত্তো, তইলি তুই এল্লেত ফঅল অই ন যাইতি","যদি যাদু না করত, তাহলে তুই এরকম পাগল হয়ে যেতি না"
আঁরো গুয়াছি গাছোত সবসময় গুয়াসি ধরে,আমাদের পেয়ারা গাছে সবসময় পেয়ারা ধরে
গত হালিয়ে ফোতু ভাইয়ুর লগে বৌত জাগাত বাসা তোওয়াই,গতকাল ফুফাতো ভাইয়ের সাথে অনেক জায়গায় বাসা খুঁজেছি
"চলো, আঁরা দুনুজন মিলি হনোমিক্কে ঘুরি আয়","চলো, আমরা দুজন মিলে কোথাও ঘুরে আসি"
ইতেরে দেহিলি আত্তুন মন চায় উজ্ঞো ঘেডি বেরাই দি,"ওকে দেখলে আমার মন চায়, একটা ঘাড়ে দিই"
বেইন্নে ফজোরত খিচুড়ি হাইয়্যি রে আঁর পেডোর অবস্থা হারাফ,সকাল সকাল খিচুড়ি খেয়ে আমার পেটের অবস্থা খারাপ
"আঁই মানিব্যাগ আনিবের লাই ভুলি গেই, টিয়া কি বিকাশুত দি দিয়্যুম?","আমি মানিব্যাগ আনতে ভুলে গেছি, টাকা কি বিকাশে দিয়ে দেব?"
"এই উনো না, তুঁই এক্কানা বুঝিবের চেষ্টা গরো","এই শোন, তুমি একটু বোঝার চেষ্টা করো"
এবার রাজশাহীত গেলি বেশি গরি রাজশাহীর আম আর লেচু লই আইসসুম,এবার রাজশাহী গেলে বেশি করে রাজশাহীর আম আর লিচু নিয়ে আসব
